cdr_id,case_id,caller,receiver,timestamp,duration,tower,imei
CDR-000001,FIR-2026-0001,+917000000000,+917000007919,2026-01-01T06:00:00.000Z,20,TWR-001-BENGALURU,860000000000000
CDR-000002,FIR-2026-0002,+917000039595,+917000055433,2026-01-01T06:07:00.000Z,57,TWR-002-CHANDNI,860000000005045
CDR-000003,FIR-2026-0003,+917000079190,+917000102947,2026-01-01T06:14:00.000Z,94,TWR-003-CHARMINAR,860000000010090
CDR-000004,FIR-2026-0004,+917000118785,+917000126704,2026-01-01T06:21:00.000Z,131,TWR-004-GOMTI,860000000015135
CDR-000005,FIR-2026-0005,+917000158380,+917000174218,2026-01-01T06:28:00.000Z,168,TWR-005-HOWRAH,860000000020180
CDR-000006,FIR-2026-0006,+917000197975,+917000221732,2026-01-01T06:35:00.000Z,205,TWR-006-INDIRANAGAR,860000000025225
CDR-000007,FIR-2026-0007,+917000237570,+917000245489,2026-01-01T06:42:00.000Z,242,TWR-007-KOCHI,860000000030270
CDR-000008,FIR-2026-0008,+917000277165,+917000293003,2026-01-01T06:49:00.000Z,279,TWR-008-MUMBAI,860000000035315
CDR-000009,FIR-2026-0009,+917000316760,+917000340517,2026-01-01T06:56:00.000Z,316,TWR-009-PUNE,860000000040360
CDR-000010,FIR-2026-0010,+917000356355,+917000364274,2026-01-01T07:03:00.000Z,353,TWR-010-SECTOR,860000000045405
CDR-000011,FIR-2026-0011,+917000395950,+917000411788,2026-01-01T07:10:00.000Z,390,TWR-011-T,860000000050450
CDR-000012,FIR-2026-0012,+917000435545,+917000459302,2026-01-01T07:17:00.000Z,427,TWR-012-VAISHALI,860000000055495
CDR-000013,FIR-2026-0013,+917000475140,+917000483059,2026-01-01T07:24:00.000Z,464,TWR-001-BENGALURU,860000000060540
CDR-000014,FIR-2026-0014,+917000514735,+917000530573,2026-01-01T07:31:00.000Z,501,TWR-002-CHANDNI,860000000065585
CDR-000015,FIR-2026-0015,+917000554330,+917000578087,2026-01-01T07:38:00.000Z,538,TWR-003-CHARMINAR,860000000070630
CDR-000016,FIR-2026-0016,+917000593925,+917000601844,2026-01-01T07:45:00.000Z,575,TWR-004-GOMTI,860000000075675
