cdr_id,case_id,caller_phone,receiver_phone,timestamp,duration_seconds,location,cell_tower
CDR-980FD0A1,CASE-0093,+913626380693,+919371979902,2023-02-26T07:31:00,1906,Gachibowli,TOWER-832
CDR-37052746,CASE-0434,+914239058338,+912440682429,2023-04-08T09:35:00,716,Hinjewadi,TOWER-168
CDR-714DEA33,CASE-0228,+918086534392,+913846642497,2023-08-19T02:38:00,1461,Anna Nagar,TOWER-240
CDR-0C2B6F66,CASE-0088,+916075826628,+911182887465,2023-08-27T04:00:00,2231,New Town,TOWER-404
CDR-CDF13CF1,CASE-0024,+913057237398,+913706249256,2023-05-07T18:21:00,2032,Jubilee Hills,TOWER-840
CDR-3BE0EF8F,CASE-0020,+915148982381,+918245260553,2023-04-19T14:07:00,1780,Karol Bagh,TOWER-120
CDR-30E72939,CASE-0285,+918939472482,+911005295024,2023-08-07T23:06:00,850,Connaught Place,TOWER-966
CDR-075FF09F,CASE-0208,+910862010900,+917171359768,2023-06-21T04:03:00,1202,Bandra Kurla Complex,TOWER-830
CDR-0C8A5147,CASE-0342,+919668738453,+914047345728,2023-04-07T22:44:00,3194,Koramangala,TOWER-789
CDR-A20D3831,CASE-0406,+919032394980,+913606548365,2023-08-03T16:00:00,3433,T Nagar,TOWER-830
CDR-EE55B531,CASE-0143,+916673037941,+916901782880,2023-10-01T16:03:00,2795,Gurgaon Sector 29,TOWER-499
CDR-9DD33202,CASE-0388,+918646745808,+915255750580,2023-04-18T05:56:00,1872,T Nagar,TOWER-500
CDR-EA0F8280,CASE-0158,+914239058338,+915782189999,2023-03-01T01:06:00,3464,Gachibowli,TOWER-661
CDR-DE60E130,CASE-0241,+913121201754,+912372580381,2023-03-28T18:43:00,1314,Indiranagar,TOWER-682
CDR-27F997AE,CASE-0036,+919767934534,+914368611687,2023-03-18T05:08:00,2489,Andheri West,TOWER-631
CDR-20E183B2,CASE-0033,+911999574663,+917514811850,2023-01-15T03:13:00,2652,Indiranagar,TOWER-505
CDR-649D5EA0,CASE-0131,+910956977119,+911205640069,2023-03-07T05:53:00,3169,Indiranagar,TOWER-329
CDR-B32F2484,CASE-0371,+912062619351,+912440682429,2023-09-07T16:17:00,81,Noida Sector 18,TOWER-223
CDR-AE6214A2,CASE-0419,+916790779028,+915788604399,2023-04-08T11:38:00,2057,Gachibowli,TOWER-111
CDR-7BAC23EC,CASE-0158,+910434073866,+912598332662,2023-02-28T18:02:00,1841,New Town,TOWER-822
CDR-94454B1F,CASE-0105,+917916997926,+911458004112,2023-07-15T12:01:00,3471,Bandra Kurla Complex,TOWER-725
CDR-79ECE80F,CASE-0263,+911350676473,+915987109108,2023-02-02T23:46:00,119,Salt Lake City,TOWER-706
CDR-BCD05641,CASE-0269,+917290393874,+914186297196,2023-03-07T01:54:00,210,Hinjewadi,TOWER-512
CDR-3F3EC483,CASE-0394,+914811049809,+915454577494,2023-07-26T14:17:00,70,Anna Nagar,TOWER-557
CDR-8BD0468C,CASE-0269,+913270896699,+911782032348,2023-06-19T03:58:00,374,Noida Sector 18,TOWER-886
CDR-C7DDA165,CASE-0244,+913828987535,+919163166327,2023-10-26T01:57:00,3062,Noida Sector 18,TOWER-667
CDR-4006D217,CASE-0346,+914239058338,+912440682429,2023-05-18T13:11:00,956,Anna Nagar,TOWER-633
CDR-95D2D77B,CASE-0256,+912871668936,+910611398156,2023-05-24T13:59:00,3486,Connaught Place,TOWER-533
