pattern_id,pattern_type,case_id_a,case_id_b,entity_type,entity_value,expected_relationship,risk_level,explanation
PAT-9E5433F4,SHARED_PHONE,CASE-0004,CASE-0444,PHONE,+918545155824,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-ECF359A2,SHARED_PHONE,CASE-0444,CASE-0197,PHONE,+918545155824,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-3307F962,SHARED_PHONE,CASE-0197,CASE-0275,PHONE,+918545155824,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-75A8876D,SHARED_PHONE,CASE-0275,CASE-0064,PHONE,+918545155824,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-13857D5B,SHARED_PHONE,CASE-0064,CASE-0422,PHONE,+918545155824,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-2F69DC68,SHARED_PHONE,CASE-0006,CASE-0162,PHONE,+915527465681,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-9EAF9FAC,SHARED_PHONE,CASE-0162,CASE-0444,PHONE,+915527465681,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-15FE5385,SHARED_PHONE,CASE-0444,CASE-0347,PHONE,+915527465681,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-82A91F0F,SHARED_PHONE,CASE-0347,CASE-0330,PHONE,+915527465681,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-F93284C9,SHARED_PHONE,CASE-0330,CASE-0353,PHONE,+915527465681,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-B599AAFB,SHARED_PHONE,CASE-0385,CASE-0011,PHONE,+910134604279,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-CE946CB5,SHARED_PHONE,CASE-0011,CASE-0027,PHONE,+910134604279,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-DD20501D,SHARED_PHONE,CASE-0027,CASE-0499,PHONE,+910134604279,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-24834C01,SHARED_PHONE,CASE-0459,CASE-0085,PHONE,+915024878084,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-356071F2,SHARED_PHONE,CASE-0085,CASE-0159,PHONE,+915024878084,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-E86C3D8B,SHARED_PHONE,CASE-0159,CASE-0074,PHONE,+915024878084,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-6AD43768,SHARED_PHONE,CASE-0074,CASE-0012,PHONE,+915024878084,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-CA2A3CBD,SHARED_PHONE,CASE-0012,CASE-0049,PHONE,+915024878084,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-463833F9,SHARED_PHONE,CASE-0435,CASE-0445,PHONE,+916209181900,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-11FDB0E8,SHARED_PHONE,CASE-0445,CASE-0012,PHONE,+916209181900,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-84C8F67F,SHARED_PHONE,CASE-0012,CASE-0098,PHONE,+916209181900,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-405C2EEE,SHARED_PHONE,CASE-0098,CASE-0224,PHONE,+916209181900,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-A272CC0E,SHARED_PHONE,CASE-0224,CASE-0278,PHONE,+916209181900,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-70722F04,SHARED_PHONE,CASE-0371,CASE-0360,PHONE,+919458484561,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-75C9A159,SHARED_PHONE,CASE-0360,CASE-0167,PHONE,+919458484561,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-86DC0C02,SHARED_PHONE,CASE-0167,CASE-0432,PHONE,+919458484561,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-C78EF4C2,SHARED_PHONE,CASE-0432,CASE-0490,PHONE,+919458484561,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-C20B94EB,SHARED_PHONE,CASE-0490,CASE-0419,PHONE,+919458484561,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-527898A7,SHARED_PHONE,CASE-0371,CASE-0424,PHONE,+912062619351,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-80BE6FBD,SHARED_PHONE,CASE-0424,CASE-0185,PHONE,+912062619351,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-0DFB1BF6,SHARED_PHONE,CASE-0185,CASE-0129,PHONE,+912062619351,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-48DA3E90,SHARED_PHONE,CASE-0129,CASE-0035,PHONE,+912062619351,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-5226AAE5,SHARED_PHONE,CASE-0035,CASE-0161,PHONE,+912062619351,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-1EB55A68,SHARED_PHONE,CASE-0248,CASE-0388,PHONE,+918646745808,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-B6C57452,SHARED_PHONE,CASE-0388,CASE-0015,PHONE,+918646745808,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-5763E555,SHARED_PHONE,CASE-0015,CASE-0225,PHONE,+918646745808,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-F045C732,SHARED_PHONE,CASE-0225,CASE-0348,PHONE,+918646745808,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-3DC5B12E,SHARED_PHONE,CASE-0312,CASE-0076,PHONE,+911885956157,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-19801311,SHARED_PHONE,CASE-0076,CASE-0321,PHONE,+911885956157,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-4E3AD5FD,SHARED_PHONE,CASE-0321,CASE-0016,PHONE,+911885956157,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-B569D409,SHARED_PHONE,CASE-0016,CASE-0164,PHONE,+911885956157,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-AFFD8107,SHARED_PHONE,CASE-0164,CASE-0249,PHONE,+911885956157,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-A3DE7B3B,SHARED_PHONE,CASE-0076,CASE-0330,PHONE,+911782032348,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-402907FA,SHARED_PHONE,CASE-0330,CASE-0266,PHONE,+911782032348,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-65533354,SHARED_PHONE,CASE-0266,CASE-0415,PHONE,+911782032348,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-C91FF96E,SHARED_PHONE,CASE-0415,CASE-0171,PHONE,+911782032348,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-E55280B4,SHARED_PHONE,CASE-0171,CASE-0304,PHONE,+911782032348,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-1E7DAEC2,SHARED_PHONE,CASE-0048,CASE-0167,PHONE,+915148982381,SHARED_ENTITY,MEDIUM,Same phone number used across multiple cases.
PAT-034394CB,SHARED_PHONE,CASE-0167,CASE-0391,PHONE,+915148982381,SHARED_ENTITY,CRITICAL,Same phone number used across multiple cases.
PAT-83611121,SHARED_PHONE,CASE-0391,CASE-0423,PHONE,+915148982381,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-9E18DA41,SHARED_PHONE,CASE-0423,CASE-0432,PHONE,+915148982381,SHARED_ENTITY,HIGH,Same phone number used across multiple cases.
PAT-F94915C4,SHARED_UPI,CASE-0352,CASE-0002,UPI_ID,divya7548@paytm,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-6ED4A1C5,SHARED_UPI,CASE-0002,CASE-0003,UPI_ID,divya7548@paytm,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-D1EF8E1F,SHARED_UPI,CASE-0003,CASE-0394,UPI_ID,divya7548@paytm,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-252FAADF,SHARED_UPI,CASE-0138,CASE-0004,UPI_ID,nitin2739@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-9FE0A480,SHARED_UPI,CASE-0004,CASE-0283,UPI_ID,nitin2739@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-12F09B08,SHARED_UPI,CASE-0283,CASE-0162,UPI_ID,nitin2739@okicici,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-B8141117,SHARED_UPI,CASE-0162,CASE-0076,UPI_ID,nitin2739@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-612CF05E,SHARED_UPI,CASE-0076,CASE-0353,UPI_ID,nitin2739@okicici,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-192D1E15,SHARED_UPI,CASE-0004,CASE-0269,UPI_ID,manoj466@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-7EED6156,SHARED_UPI,CASE-0269,CASE-0076,UPI_ID,manoj466@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-DA4D69E3,SHARED_UPI,CASE-0076,CASE-0347,UPI_ID,manoj466@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-8FA36585,SHARED_UPI,CASE-0347,CASE-0330,UPI_ID,manoj466@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-66CFB5D1,SHARED_UPI,CASE-0330,CASE-0406,UPI_ID,manoj466@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-F9B05CE0,SHARED_UPI,CASE-0328,CASE-0376,UPI_ID,gaurav8853@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-0ACBCEA5,SHARED_UPI,CASE-0376,CASE-0005,UPI_ID,gaurav8853@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-460A5C2D,SHARED_UPI,CASE-0006,CASE-0159,UPI_ID,priya7684@upi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-D1288204,SHARED_UPI,CASE-0159,CASE-0108,UPI_ID,priya7684@upi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-565ED855,SHARED_UPI,CASE-0108,CASE-0162,UPI_ID,priya7684@upi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-1145363A,SHARED_UPI,CASE-0162,CASE-0347,UPI_ID,priya7684@upi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-32D4606E,SHARED_UPI,CASE-0347,CASE-0029,UPI_ID,priya7684@upi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-4C8FE608,SHARED_UPI,CASE-0085,CASE-0153,UPI_ID,swati3371@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-113DC085,SHARED_UPI,CASE-0153,CASE-0159,UPI_ID,swati3371@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-95299957,SHARED_UPI,CASE-0159,CASE-0074,UPI_ID,swati3371@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-3E598935,SHARED_UPI,CASE-0074,CASE-0012,UPI_ID,swati3371@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-A1D21D27,SHARED_UPI,CASE-0012,CASE-0029,UPI_ID,swati3371@okicici,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-F2B12844,SHARED_UPI,CASE-0435,CASE-0454,UPI_ID,priyanka3970@okhdfcbank,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-935901D1,SHARED_UPI,CASE-0454,CASE-0303,UPI_ID,priyanka3970@okhdfcbank,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-C887A1F6,SHARED_UPI,CASE-0303,CASE-0012,UPI_ID,priyanka3970@okhdfcbank,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-0DC820B3,SHARED_UPI,CASE-0012,CASE-0098,UPI_ID,priyanka3970@okhdfcbank,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-0348FE36,SHARED_UPI,CASE-0098,CASE-0282,UPI_ID,priyanka3970@okhdfcbank,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-2ADAEB1E,SHARED_UPI,CASE-0048,CASE-0066,UPI_ID,rahul6041@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-9451F99C,SHARED_UPI,CASE-0066,CASE-0181,UPI_ID,rahul6041@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-F93D87F6,SHARED_UPI,CASE-0181,CASE-0359,UPI_ID,rahul6041@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-19D209B7,SHARED_UPI,CASE-0359,CASE-0169,UPI_ID,rahul6041@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-1AE60CCE,SHARED_UPI,CASE-0169,CASE-0099,UPI_ID,rahul6041@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-F51E64D4,SHARED_UPI,CASE-0312,CASE-0317,UPI_ID,priya2314@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-798A37F0,SHARED_UPI,CASE-0317,CASE-0275,UPI_ID,priya2314@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-1415A766,SHARED_UPI,CASE-0275,CASE-0395,UPI_ID,priya2314@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-ABE59D85,SHARED_UPI,CASE-0395,CASE-0057,UPI_ID,priya2314@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-839ADE59,SHARED_UPI,CASE-0057,CASE-0062,UPI_ID,priya2314@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-86952DE2,SHARED_UPI,CASE-0284,CASE-0129,UPI_ID,amit4927@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-2E1D57F5,SHARED_UPI,CASE-0129,CASE-0035,UPI_ID,amit4927@oksbi,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
PAT-95A17C2F,SHARED_UPI,CASE-0035,CASE-0359,UPI_ID,amit4927@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-20D61EAC,SHARED_UPI,CASE-0359,CASE-0146,UPI_ID,amit4927@oksbi,SHARED_ENTITY,CRITICAL,Same UPI ID found in multiple cases.
PAT-B285AC6E,SHARED_UPI,CASE-0146,CASE-0020,UPI_ID,amit4927@oksbi,SHARED_ENTITY,MEDIUM,Same UPI ID found in multiple cases.
PAT-C1311746,SHARED_UPI,CASE-0048,CASE-0165,UPI_ID,karthik5492@okicici,SHARED_ENTITY,HIGH,Same UPI ID found in multiple cases.
