sender,receiver,amount,upi,timestamp,transaction_id,case_id
510000000000,510000003571,2500.00,aditi.0002@okaxis,2026-01-01T06:00:00.000Z,TXN-0000001,FIR-2026-0001
510000017855,510000021426,10419.00,divya.0007@oksbi,2026-01-01T06:11:00.000Z,TXN-0000002,FIR-2026-0002
510000035710,510000039281,18338.00,manoj.0012@upi,2026-01-01T06:22:00.000Z,TXN-0000003,FIR-2026-0003
510000053565,510000057136,526257.00,pranav.0017@paytm,2026-01-01T06:33:00.000Z,TXN-0000004,FIR-2026-0004
510000071420,510000074991,34176.00,riya.0022@ybl,2026-01-01T06:44:00.000Z,TXN-0000005,FIR-2026-0005
510000089275,510000092846,42095.00,suresh.0027@okicici,2026-01-01T06:55:00.000Z,TXN-0000006,FIR-2026-0006
510000107130,510000110701,50014.00,aditi.0032@okaxis,2026-01-01T07:06:00.000Z,TXN-0000007,FIR-2026-0007
510000124985,510000128556,57933.00,divya.0037@oksbi,2026-01-01T07:17:00.000Z,TXN-0000008,FIR-2026-0008
510000142840,510000146411,65852.00,manoj.0042@upi,2026-01-01T07:28:00.000Z,TXN-0000009,FIR-2026-0009
510000160695,510000164266,73771.00,pranav.0047@paytm,2026-01-01T07:39:00.000Z,TXN-0000010,FIR-2026-0010
510000178550,510000182121,81690.00,riya.0052@ybl,2026-01-01T07:50:00.000Z,TXN-0000011,FIR-2026-0011
510000196405,510000199976,89609.00,suresh.0057@okicici,2026-01-01T08:01:00.000Z,TXN-0000012,FIR-2026-0012
510000214260,510000217831,97528.00,aditi.0062@okaxis,2026-01-01T08:12:00.000Z,TXN-0000013,FIR-2026-0013
510000232115,510000235686,105447.00,divya.0067@oksbi,2026-01-01T08:23:00.000Z,TXN-0000014,FIR-2026-0014
510000249970,510000253541,113366.00,manoj.0072@upi,2026-01-01T08:34:00.000Z,TXN-0000015,FIR-2026-0015
510000267825,510000271396,121285.00,pranav.0077@paytm,2026-01-01T08:45:00.000Z,TXN-0000016,FIR-2026-0016
510000285680,510000289251,129204.00,riya.0082@ybl,2026-01-01T08:56:00.000Z,TXN-0000017,FIR-2026-0017
510000303535,510000307106,137123.00,suresh.0087@okicici,2026-01-01T09:07:00.000Z,TXN-0000018,FIR-2026-0018
510000321390,510000324961,145042.00,aditi.0092@okaxis,2026-01-01T09:18:00.000Z,TXN-0000019,FIR-2026-0019
510000339245,510000342816,152961.00,divya.0097@oksbi,2026-01-01T09:29:00.000Z,TXN-0000020,FIR-2026-0020
510000357100,510000360671,160880.00,manoj.0102@upi,2026-01-01T09:40:00.000Z,TXN-0000021,FIR-2026-0021
510000374955,510000378526,168799.00,pranav.0107@paytm,2026-01-01T09:51:00.000Z,TXN-0000022,FIR-2026-0022
510000392810,510000396381,176718.00,riya.0112@ybl,2026-01-01T10:02:00.000Z,TXN-0000023,FIR-2026-0023
510000410665,510000414236,184637.00,suresh.0117@okicici,2026-01-01T10:13:00.000Z,TXN-0000024,FIR-2026-0024
510000428520,510000432091,192556.00,aditi.0122@okaxis,2026-01-01T10:24:00.000Z,TXN-0000025,FIR-2026-0025
510000446375,510000449946,200475.00,divya.0127@oksbi,2026-01-01T10:35:00.000Z,TXN-0000026,FIR-2026-0026
510000464230,510000467801,208394.00,manoj.0132@upi,2026-01-01T10:46:00.000Z,TXN-0000027,FIR-2026-0027
510000482085,510000485656,216313.00,pranav.0137@paytm,2026-01-01T10:57:00.000Z,TXN-0000028,FIR-2026-0028
510000499940,510000503511,224232.00,riya.0142@ybl,2026-01-01T11:08:00.000Z,TXN-0000029,FIR-2026-0029
510000517795,510000521366,232151.00,suresh.0147@okicici,2026-01-01T11:19:00.000Z,TXN-0000030,FIR-2026-0030
510000535650,510000539221,240070.00,aditi.0152@okaxis,2026-01-01T11:30:00.000Z,TXN-0000031,FIR-2026-0031
510000553505,510000557076,247989.00,divya.0157@oksbi,2026-01-01T11:41:00.000Z,TXN-0000032,FIR-2026-0032
510000571360,510000574931,255908.00,manoj.0162@upi,2026-01-01T11:52:00.000Z,TXN-0000033,FIR-2026-0033
510000589215,510000592786,263827.00,pranav.0167@paytm,2026-01-01T12:03:00.000Z,TXN-0000034,FIR-2026-0034
510000607070,510000610641,271746.00,riya.0172@ybl,2026-01-01T12:14:00.000Z,TXN-0000035,FIR-2026-0035
510000624925,510000628496,279665.00,suresh.0177@okicici,2026-01-01T12:25:00.000Z,TXN-0000036,FIR-2026-0036
510000642780,510000646351,287584.00,aditi.0182@okaxis,2026-01-01T12:36:00.000Z,TXN-0000037,FIR-2026-0037
510000660635,510000664206,295503.00,divya.0187@oksbi,2026-01-01T12:47:00.000Z,TXN-0000038,FIR-2026-0038
510000678490,510000682061,303422.00,manoj.0192@upi,2026-01-01T12:58:00.000Z,TXN-0000039,FIR-2026-0039
510000696345,510000699916,311341.00,pranav.0197@paytm,2026-01-01T13:09:00.000Z,TXN-0000040,FIR-2026-0040
510000003571,510000007142,319260.00,akash.0003@okicici,2026-01-01T13:20:00.000Z,TXN-0000041,FIR-2026-0041
510000021426,510000024997,327179.00,farhan.0008@okaxis,2026-01-01T13:31:00.000Z,TXN-0000042,FIR-2026-0042
510000039281,510000042852,335098.00,meera.0013@oksbi,2026-01-01T13:42:00.000Z,TXN-0000043,FIR-2026-0043
510000057136,510000060707,843017.00,priya.0018@upi,2026-01-01T13:53:00.000Z,TXN-0000044,FIR-2026-0044
510000074991,510000078562,350936.00,rohan.0023@paytm,2026-01-01T14:04:00.000Z,TXN-0000045,FIR-2026-0045
510000092846,510000096417,358855.00,tanvi.0028@ybl,2026-01-01T14:15:00.000Z,TXN-0000046,FIR-2026-0046
510000110701,510000114272,366774.00,akash.0033@okicici,2026-01-01T14:26:00.000Z,TXN-0000047,FIR-2026-0047
510000128556,510000132127,374693.00,farhan.0038@okaxis,2026-01-01T14:37:00.000Z,TXN-0000048,FIR-2026-0048
510000146411,510000149982,382612.00,meera.0043@oksbi,2026-01-01T14:48:00.000Z,TXN-0000049,FIR-2026-0049
510000164266,510000167837,390531.00,priya.0048@upi,2026-01-01T14:59:00.000Z,TXN-0000050,FIR-2026-0050
510000182121,510000185692,398450.00,rohan.0053@paytm,2026-01-01T15:10:00.000Z,TXN-0000051,FIR-2026-0051
510000199976,510000203547,406369.00,tanvi.0058@ybl,2026-01-01T15:21:00.000Z,TXN-0000052,FIR-2026-0052
510000217831,510000221402,414288.00,akash.0063@okicici,2026-01-01T15:32:00.000Z,TXN-0000053,FIR-2026-0053
510000235686,510000239257,422207.00,farhan.0068@okaxis,2026-01-01T15:43:00.000Z,TXN-0000054,FIR-2026-0054
510000253541,510000257112,430126.00,meera.0073@oksbi,2026-01-01T15:54:00.000Z,TXN-0000055,FIR-2026-0055
510000271396,510000274967,438045.00,priya.0078@upi,2026-01-01T16:05:00.000Z,TXN-0000056,FIR-2026-0056
510000289251,510000292822,445964.00,rohan.0083@paytm,2026-01-01T16:16:00.000Z,TXN-0000057,FIR-2026-0057
510000307106,510000310677,453883.00,tanvi.0088@ybl,2026-01-01T16:27:00.000Z,TXN-0000058,FIR-2026-0058
510000324961,510000328532,461802.00,akash.0093@okicici,2026-01-01T16:38:00.000Z,TXN-0000059,FIR-2026-0059
510000342816,510000346387,469721.00,farhan.0098@okaxis,2026-01-01T16:49:00.000Z,TXN-0000060,FIR-2026-0060
510000360671,510000364242,2640.00,meera.0103@oksbi,2026-01-01T17:00:00.000Z,TXN-0000061,FIR-2026-0061
510000378526,510000382097,10559.00,priya.0108@upi,2026-01-01T17:11:00.000Z,TXN-0000062,FIR-2026-0062
510000396381,510000399952,18478.00,rohan.0113@paytm,2026-01-01T17:22:00.000Z,TXN-0000063,FIR-2026-0063
510000414236,510000417807,26397.00,tanvi.0118@ybl,2026-01-01T17:33:00.000Z,TXN-0000064,FIR-2026-0064
510000432091,510000435662,34316.00,akash.0123@okicici,2026-01-01T17:44:00.000Z,TXN-0000065,FIR-2026-0065
510000449946,510000453517,42235.00,farhan.0128@okaxis,2026-01-01T17:55:00.000Z,TXN-0000066,FIR-2026-0066
510000467801,510000471372,50154.00,meera.0133@oksbi,2026-01-01T18:06:00.000Z,TXN-0000067,FIR-2026-0067
510000485656,510000489227,58073.00,priya.0138@upi,2026-01-01T18:17:00.000Z,TXN-0000068,FIR-2026-0068
510000503511,510000507082,65992.00,rohan.0143@paytm,2026-01-01T18:28:00.000Z,TXN-0000069,FIR-2026-0069
510000521366,510000524937,73911.00,tanvi.0148@ybl,2026-01-01T18:39:00.000Z,TXN-0000070,FIR-2026-0070
510000539221,510000542792,81830.00,akash.0153@okicici,2026-01-01T18:50:00.000Z,TXN-0000071,FIR-2026-0071
510000557076,510000560647,89749.00,farhan.0158@okaxis,2026-01-01T19:01:00.000Z,TXN-0000072,FIR-2026-0072
510000574931,510000578502,97668.00,meera.0163@oksbi,2026-01-01T19:12:00.000Z,TXN-0000073,FIR-2026-0073
510000592786,510000596357,105587.00,priya.0168@upi,2026-01-01T19:23:00.000Z,TXN-0000074,FIR-2026-0074
510000610641,510000614212,113506.00,rohan.0173@paytm,2026-01-01T19:34:00.000Z,TXN-0000075,FIR-2026-0075
510000628496,510000632067,121425.00,tanvi.0178@ybl,2026-01-01T19:45:00.000Z,TXN-0000076,FIR-2026-0076
510000646351,510000649922,129344.00,akash.0183@okicici,2026-01-01T19:56:00.000Z,TXN-0000077,FIR-2026-0077
510000664206,510000667777,137263.00,farhan.0188@okaxis,2026-01-01T20:07:00.000Z,TXN-0000078,FIR-2026-0078
510000682061,510000685632,145182.00,meera.0193@oksbi,2026-01-01T20:18:00.000Z,TXN-0000079,FIR-2026-0079
510000699916,510000703487,153101.00,priya.0198@upi,2026-01-01T20:29:00.000Z,TXN-0000080,FIR-2026-0080
510000007142,510000010713,161020.00,ananya.0004@ybl,2026-01-01T20:40:00.000Z,TXN-0000081,FIR-2026-0081
510000024997,510000028568,168939.00,ishita.0009@okicici,2026-01-01T20:51:00.000Z,TXN-0000082,FIR-2026-0082
510000042852,510000046423,176858.00,neha.0014@okaxis,2026-01-01T21:02:00.000Z,TXN-0000083,FIR-2026-0083
510000060707,510000064278,684777.00,rahul.0019@oksbi,2026-01-01T21:13:00.000Z,TXN-0000084,FIR-2026-0084
510000078562,510000082133,192696.00,sameer.0024@upi,2026-01-01T21:24:00.000Z,TXN-0000085,FIR-2026-0085
510000096417,510000099988,200615.00,varun.0029@paytm,2026-01-01T21:35:00.000Z,TXN-0000086,FIR-2026-0086
510000114272,510000117843,208534.00,ananya.0034@ybl,2026-01-01T21:46:00.000Z,TXN-0000087,FIR-2026-0087
510000132127,510000135698,216453.00,ishita.0039@okicici,2026-01-01T21:57:00.000Z,TXN-0000088,FIR-2026-0088
510000149982,510000153553,224372.00,neha.0044@okaxis,2026-01-01T22:08:00.000Z,TXN-0000089,FIR-2026-0089
510000167837,510000171408,232291.00,rahul.0049@oksbi,2026-01-01T22:19:00.000Z,TXN-0000090,FIR-2026-0090
510000185692,510000189263,240210.00,sameer.0054@upi,2026-01-01T22:30:00.000Z,TXN-0000091,FIR-2026-0091
510000203547,510000207118,248129.00,varun.0059@paytm,2026-01-01T22:41:00.000Z,TXN-0000092,FIR-2026-0092
510000221402,510000224973,256048.00,ananya.0064@ybl,2026-01-01T22:52:00.000Z,TXN-0000093,FIR-2026-0093
510000239257,510000242828,263967.00,ishita.0069@okicici,2026-01-01T23:03:00.000Z,TXN-0000094,FIR-2026-0094
510000257112,510000260683,271886.00,neha.0074@okaxis,2026-01-01T23:14:00.000Z,TXN-0000095,FIR-2026-0095
510000274967,510000278538,279805.00,rahul.0079@oksbi,2026-01-01T23:25:00.000Z,TXN-0000096,FIR-2026-0096
510000292822,510000296393,287724.00,sameer.0084@upi,2026-01-01T23:36:00.000Z,TXN-0000097,FIR-2026-0097
510000310677,510000314248,295643.00,varun.0089@paytm,2026-01-01T23:47:00.000Z,TXN-0000098,FIR-2026-0098
510000328532,510000332103,303562.00,ananya.0094@ybl,2026-01-01T23:58:00.000Z,TXN-0000099,FIR-2026-0099
510000346387,510000349958,311481.00,ishita.0099@okicici,2026-01-02T00:09:00.000Z,TXN-0000100,FIR-2026-0100
510000364242,510000367813,319400.00,neha.0104@okaxis,2026-01-02T00:20:00.000Z,TXN-0000101,FIR-2026-0101
510000382097,510000385668,327319.00,rahul.0109@oksbi,2026-01-02T00:31:00.000Z,TXN-0000102,FIR-2026-0102
510000399952,510000403523,335238.00,sameer.0114@upi,2026-01-02T00:42:00.000Z,TXN-0000103,FIR-2026-0103
510000417807,510000421378,343157.00,varun.0119@paytm,2026-01-02T00:53:00.000Z,TXN-0000104,FIR-2026-0104
510000435662,510000439233,351076.00,ananya.0124@ybl,2026-01-02T01:04:00.000Z,TXN-0000105,FIR-2026-0105
510000453517,510000457088,358995.00,ishita.0129@okicici,2026-01-02T01:15:00.000Z,TXN-0000106,FIR-2026-0106
510000471372,510000474943,366914.00,neha.0134@okaxis,2026-01-02T01:26:00.000Z,TXN-0000107,FIR-2026-0107
510000489227,510000492798,374833.00,rahul.0139@oksbi,2026-01-02T01:37:00.000Z,TXN-0000108,FIR-2026-0108
510000507082,510000510653,382752.00,sameer.0144@upi,2026-01-02T01:48:00.000Z,TXN-0000109,FIR-2026-0109
510000524937,510000528508,390671.00,varun.0149@paytm,2026-01-02T01:59:00.000Z,TXN-0000110,FIR-2026-0110
510000542792,510000546363,398590.00,ananya.0154@ybl,2026-01-02T02:10:00.000Z,TXN-0000111,FIR-2026-0111
510000560647,510000564218,406509.00,ishita.0159@okicici,2026-01-02T02:21:00.000Z,TXN-0000112,FIR-2026-0112
510000578502,510000582073,414428.00,neha.0164@okaxis,2026-01-02T02:32:00.000Z,TXN-0000113,FIR-2026-0113
510000596357,510000599928,422347.00,rahul.0169@oksbi,2026-01-02T02:43:00.000Z,TXN-0000114,FIR-2026-0114
510000614212,510000617783,430266.00,sameer.0174@upi,2026-01-02T02:54:00.000Z,TXN-0000115,FIR-2026-0115
510000632067,510000635638,438185.00,varun.0179@paytm,2026-01-02T03:05:00.000Z,TXN-0000116,FIR-2026-0116
510000649922,510000653493,446104.00,ananya.0184@ybl,2026-01-02T03:16:00.000Z,TXN-0000117,FIR-2026-0117
510000667777,510000671348,454023.00,ishita.0189@okicici,2026-01-02T03:27:00.000Z,TXN-0000118,FIR-2026-0118
510000685632,510000689203,461942.00,neha.0194@okaxis,2026-01-02T03:38:00.000Z,TXN-0000119,FIR-2026-0119
510000703487,510000707058,469861.00,rahul.0199@oksbi,2026-01-02T03:49:00.000Z,TXN-0000120,FIR-2026-0120
510000010713,510000014284,2780.00,arjun.0005@paytm,2026-01-02T04:00:00.000Z,TXN-0000121,FIR-2026-0121
510000028568,510000032139,10699.00,kabir.0010@ybl,2026-01-02T04:11:00.000Z,TXN-0000122,FIR-2026-0122
510000046423,510000049994,18618.00,nikhil.0015@okicici,2026-01-02T04:22:00.000Z,TXN-0000123,FIR-2026-0123
510000064278,510000067849,526537.00,rajesh.0020@okaxis,2026-01-02T04:33:00.000Z,TXN-0000124,FIR-2026-0124
510000082133,510000085704,34456.00,sanjay.0025@oksbi,2026-01-02T04:44:00.000Z,TXN-0000125,FIR-2026-0125
510000099988,510000103559,42375.00,vikram.0030@upi,2026-01-02T04:55:00.000Z,TXN-0000126,FIR-2026-0126
510000117843,510000121414,50294.00,arjun.0035@paytm,2026-01-02T05:06:00.000Z,TXN-0000127,FIR-2026-0127
510000135698,510000139269,58213.00,kabir.0040@ybl,2026-01-02T05:17:00.000Z,TXN-0000128,FIR-2026-0128
510000153553,510000157124,66132.00,nikhil.0045@okicici,2026-01-02T05:28:00.000Z,TXN-0000129,FIR-2026-0129
510000171408,510000174979,74051.00,rajesh.0050@okaxis,2026-01-02T05:39:00.000Z,TXN-0000130,FIR-2026-0130
510000189263,510000192834,81970.00,sanjay.0055@oksbi,2026-01-02T05:50:00.000Z,TXN-0000131,FIR-2026-0131
510000207118,510000210689,89889.00,vikram.0060@upi,2026-01-02T06:01:00.000Z,TXN-0000132,FIR-2026-0132
510000224973,510000228544,97808.00,arjun.0065@paytm,2026-01-02T06:12:00.000Z,TXN-0000133,FIR-2026-0133
510000242828,510000246399,105727.00,kabir.0070@ybl,2026-01-02T06:23:00.000Z,TXN-0000134,FIR-2026-0134
510000260683,510000264254,113646.00,nikhil.0075@okicici,2026-01-02T06:34:00.000Z,TXN-0000135,FIR-2026-0135
510000278538,510000282109,121565.00,rajesh.0080@okaxis,2026-01-02T06:45:00.000Z,TXN-0000136,FIR-2026-0136
510000296393,510000299964,129484.00,sanjay.0085@oksbi,2026-01-02T06:56:00.000Z,TXN-0000137,FIR-2026-0137
510000314248,510000317819,137403.00,vikram.0090@upi,2026-01-02T07:07:00.000Z,TXN-0000138,FIR-2026-0138
510000332103,510000335674,145322.00,arjun.0095@paytm,2026-01-02T07:18:00.000Z,TXN-0000139,FIR-2026-0139
510000349958,510000353529,153241.00,kabir.0100@ybl,2026-01-02T07:29:00.000Z,TXN-0000140,FIR-2026-0140
510000367813,510000371384,161160.00,nikhil.0105@okicici,2026-01-02T07:40:00.000Z,TXN-0000141,FIR-2026-0141
510000385668,510000389239,169079.00,rajesh.0110@okaxis,2026-01-02T07:51:00.000Z,TXN-0000142,FIR-2026-0142
510000403523,510000407094,176998.00,sanjay.0115@oksbi,2026-01-02T08:02:00.000Z,TXN-0000143,FIR-2026-0143
510000421378,510000424949,184917.00,vikram.0120@upi,2026-01-02T08:13:00.000Z,TXN-0000144,FIR-2026-0144
510000439233,510000442804,192836.00,arjun.0125@paytm,2026-01-02T08:24:00.000Z,TXN-0000145,FIR-2026-0145
510000457088,510000460659,200755.00,kabir.0130@ybl,2026-01-02T08:35:00.000Z,TXN-0000146,FIR-2026-0146
510000474943,510000478514,208674.00,nikhil.0135@okicici,2026-01-02T08:46:00.000Z,TXN-0000147,FIR-2026-0147
510000492798,510000496369,216593.00,rajesh.0140@okaxis,2026-01-02T08:57:00.000Z,TXN-0000148,FIR-2026-0148
510000510653,510000514224,224512.00,sanjay.0145@oksbi,2026-01-02T09:08:00.000Z,TXN-0000149,FIR-2026-0149
510000528508,510000532079,232431.00,vikram.0150@upi,2026-01-02T09:19:00.000Z,TXN-0000150,FIR-2026-0150
510000546363,510000549934,240350.00,arjun.0155@paytm,2026-01-02T09:30:00.000Z,TXN-0000151,FIR-2026-0151
510000564218,510000567789,248269.00,kabir.0160@ybl,2026-01-02T09:41:00.000Z,TXN-0000152,FIR-2026-0152
510000582073,510000585644,256188.00,nikhil.0165@okicici,2026-01-02T09:52:00.000Z,TXN-0000153,FIR-2026-0153
510000599928,510000603499,264107.00,rajesh.0170@okaxis,2026-01-02T10:03:00.000Z,TXN-0000154,FIR-2026-0154
510000617783,510000621354,272026.00,sanjay.0175@oksbi,2026-01-02T10:14:00.000Z,TXN-0000155,FIR-2026-0155
510000635638,510000639209,279945.00,vikram.0180@upi,2026-01-02T10:25:00.000Z,TXN-0000156,FIR-2026-0156
510000653493,510000657064,287864.00,arjun.0185@paytm,2026-01-02T10:36:00.000Z,TXN-0000157,FIR-2026-0157
